PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,POSITION,SEASON
1630097,Kaila Charles,GSV,F,2026
1642794,Juste Jocyte,GSV,F,2026
1628932,A'ja Wilson,LVA,C,2026
1628508,Cecilia Zandalasini,GSV,F,2026
1631019,NaLyssa Smith,LVA,F,2026
1642767,Janelle Salaun,GSV,F,2026
1642822,Kaitlyn Chen,GSV,F,2026
203833,Chelsea Gray,LVA,G,2026
1630150,Chennedy Carter,LVA,F,2026
203866,Kayla Thornton,GSV,F,2026
1631007,Veronica Burton,GSV,G,2026
1641656,Laeticia Amihere,GSV,F,2026
1642817,Hailey Van Lith,CHI,F,2025
1629481,Arike Ogunbowale,DAL,G,2025
1630143,Luisa Geiselsoder,DAL,F,2025
1642808,JJ Quinerly,DAL,F,2025
202664,Courtney Vandersloot,CHI,G,2025
1629479,Teaira McCowan,DAL,F,2025
1629571,Morgan Bertsch,PHO,F,2024
1627672,Aerial Powers,ATL,F,2024
1641700,Liz Dixon,PHO,F,2024
1641654,Stephanie Soares,DAL,F,2024
1627676,Tiffany Mitchell,CON,F,2024
204323,Cheyenne Parker-Tyus,ATL,F,2024
1630459,DiDi Richards,WAS,F,2024
203014,Nneka Ogwumike,LAS,C,2026
204365,Erica Wheeler,LAS,G,2026
1630996,Rae Burrell,LAS,F,2026
1629568,Kennedy Burke,CON,F,2026
1631135,Olivia Nelson-Ododa,CON,F,2026
1642809,Saniya Rivers,CON,F,2026
1629482,Sophie Cunningham,IND,F,2026
1631086,Lexie Hull,IND,F,2026
1642815,Makayla Timpson,IND,F,2026
1629484,Megan DiLeo,PDX,F,2026
1629567,Natisha Hiedeman,SEA,G,2026
1643457,Teonni Key,TOR,F,2026
204324,Dearica Hamby,LAS,C,2026
1628878,Ariel Atkins,LAS,F,2026
203398,Brittney Griner,CON,F,2026
1629524,Bridget Carleton,PDX,F,2026
1643494,Frieda Buhner,PDX,F,2026
203828,Stefanie Dolson,SEA,F,2026
1628882,Lexie Brown,SEA,F,2026
1643428,Flau'jae Johnson,SEA,F,2026
1627700,Julie Allemand,TOR,G,2026
1629497,Marina Mabrey,TOR,G,2026
1631055,Nyara Sabally,TOR,F,2026
1643420,Laura Juskaite,TOR,F,2026
1643444,Ta'Niya Latson,LAS,F,2026
1643462,Chance Gray,LAS,F,2026
1642303,Leila Lacan,CON,G,2026
1642800,Aneesah Morrow,CON,C,2026
1643448,Nell Angloma,CON,F,2026
1630143,Luisa Geiselsoder,PDX,F,2026
1631141,Jade Melbourne,SEA,G,2026
1641651,Jordan Horston,SEA,F,2026
1643443,Awa Fam,SEA,F,2026
1629576,Maria Conde,TOR,F,2026
1642324,Kate Martin,LAS,F,2026
1643449,Charlisse Leger-Walker,CON,F,2026
1630112,Tyasha Harris,IND,F,2026
1641648,Aliyah Boston,IND,C,2026
1642286,Caitlin Clark,IND,G,2026
1643453,Grace VanSlooten,IND,F,2026
1631083,Emily Engstler,PDX,F,2026
1642296,Nyadiew Puoch,PDX,F,2026
1643506,Teja Oblak,PDX,F,2026
1629478,Katie Lou Samuelson,SEA,F,2026
1641660,Zia Cooke,SEA,F,2026
1642307,Mackenzie Holmes,SEA,F,2026
1628279,Brittney Sykes,TOR,F,2026
1643445,Kiki Rice,TOR,F,2026
1643647,Tima Pouye,TOR,F,2026
1642287,Cameron Brink,LAS,F,2026
1641649,Diamond Miller,CON,F,2026
1643429,Gianna Kneepkens,CON,F,2026
1643441,Raegan Beers,CON,F,2026
1628881,Monique Billings,IND,F,2026
1628899,Myisha Hines-Allen,IND,F,2026
1628909,Kelsey Mitchell,IND,F,2026
1643433,Raven Johnson,IND,F,2026
1642304,Carla Leite,PDX,G,2026
1642782,Sarah Ashlee Barker,PDX,F,2026
1628915,Kia Nurse,TOR,F,2026
1641683,Holly Winterburn,PDX,F,2026
202641,Sydney Colson,IND,F,2025
1629482,Sophie Cunningham,IND,F,2025
1628882,Lexie Brown,SEA,F,2025
1642301,Marquesha Davis,NYL,F,2025
1642295,Elizabeth Kitley,LVA,F,2025
1641641,Robyn Parks,CON,F,2025
203829,Bria Hartley,CON,F,2025
1642292,Jacy Sheldon,CON,F,2025
1642820,Liatu King,LAS,F,2025
1642763,Marième Badiane,MIN,F,2025
1642774,Murjanatu Musa,PHX,F,2025
1628920,Mercedes Russell,LAS,F,2025
1631135,Olivia Nelson-Ododa,CON,F,2025
1628317,Karlie Samuelson,MIN,F,2025
1629574,Li Yueru,SEA,F,2025
1641660,Zia Cooke,SEA,F,2025
1628882,Lexie Brown,LAS,F,2024
1642287,Cameron Brink,LAS,F,2024
204322,Elizabeth Williams,CHI,C,2024
1630438,Kysre Gondrezick,CHI,F,2024
1630461,Kiana Williams,SEA,F,2024
1641675,Dulcy Fankam Mendjiadeu,SEA,F,2024
1630142,Leonie Fiebich,NYL,F,2026
201886,DeWanna Bonner,PHX,F,2026
1627674,Kahleah Copper,PHX,F,2026
1630442,Natasha Mack,PHX,C,2026
1642768,Kyara Linskens,PHX,F,2026
1643493,Noemie Brochant,PHX,F,2026
1630446,Michaela Onyenwere,WAS,F,2026
1642781,Georgia Amoore,WAS,G,2026
1630471,Maya Caldwell,MIN,F,2026
1643426,Olivia Miles,MIN,G,2026
204333,Natasha Cloud,CHI,G,2026
1642289,Kamilla Cardoso,CHI,C,2026
1642786,Aicha Coulibaly,CHI,F,2026
1642804,Te-Hina Paopao,ATL,F,2026
204335,Betnijah Laney-Hamilton,NYL,F,2026
1627673,Jonquel Jones,NYL,C,2026
1629546,Marine Johannes,NYL,F,2026
1629566,Han Xu,NYL,F,2026
1642777,Monique Akoa Makani,PHX,F,2026
1642792,Kiki Iriafen,WAS,C,2026
1643455,Angela Dugalic,WAS,F,2026
1643644,Alicia Florez,WAS,F,2026
1627675,Courtney Williams,MIN,F,2026
1643436,Serah Williams,PDX,F,2026
1642321,Sydney Taylor,CHI,F,2026
1631009,Rhyne Howard,ATL,G,2026
1631044,Naz Hillmon,ATL,F,2026
1627668,Breanna Stewart,NYL,C,2026
1643505,Jovana Nogic,PHX,F,2026
1630148,Jihyun Park,LAS,F,2026
1642785,Sonia Citron,WAS,G,2026
1643467,Cassandre Prosper,WAS,F,2026
203827,Natasha Howard,MIN,C,2026
1628269,Nia Coffey,MIN,F,2026
1629479,Teaira McCowan,MIN,F,2026
1628277,Allisha Gray,ATL,F,2026
1628886,Jordin Canada,ATL,G,2026
1631021,Sika Kone,ATL,F,2026
1642302,Isobel Borlase,ATL,F,2026
1642801,Aaliyah Nye,ATL,F,2026
1643431,Madina Okot,ATL,F,2026
1643469,Indya Nivar,ATL,F,2026
203822,Rebekah Gardner,NYL,F,2026
1630149,Satou Sabally,NYL,F,2026
1631136,Pauline Astier,NYL,G,2026
203826,Alyssa Thomas,PHX,C,2026
1643427,Lauren Betts,WAS,F,2026
1643430,Cotie McMahon,WAS,F,2026
1643489,Antonia Delaere,MIN,F,2026
203400,Skylar Diggins,CHI,G,2026
1628922,Azura Stevens,CHI,C,2026
1642292,Jacy Sheldon,CHI,F,2026
204468,Valeriane Ayayi,PHX,F,2026
1631022,Shakira Austin,WAS,C,2026
1642797,Anastasiia Olairi Kosu,MIN,F,2026
1642820,Liatu King,MIN,F,2026
1628317,Karlie Samuelson,PDX,F,2026
1627671,Rachel Banham,CHI,F,2026
1643458,Saylor Poffenbarger,CHI,F,2026
1642291,Angel Reese,ATL,C,2026
204296,Rebecca Allen,NYL,F,2026
203825,Kayla McBride,MIN,F,2026
204322,Elizabeth Williams,CHI,F,2026
203866,Kayla Thornton,GSV,C,2025
1628242,Emma Cannon,LVA,F,2024
204319,Jewell Loyd,LVA,F,2026
203824,Odyssey Sims,DAL,F,2026
1641652,Maddy Siegrist,DAL,F,2026
1642784,Paige Bueckers,DAL,G,2026
1643425,Azzi Fudd,DAL,F,2026
1642793,Aziaha James,DAL,F,2026
1630386,Awak Kuier,DAL,F,2026
202252,Alysha Clark,DAL,F,2026
1629481,Arike Ogunbowale,DAL,F,2026
204323,Cheyenne Parker-Tyus,LVA,F,2026
1629491,Jessica Shepard,DAL,C,2026
1630384,Raquel Carrera,NYL,F,2026
1631118,Lexi Held,TOR,F,2026
1630461,Kiana Williams,PHX,F,2026
1643437,Ashlon Jackson,CON,F,2026
1642290,Aaliyah Edwards,CON,F,2026
1642817,Hailey Van Lith,CON,F,2026
1631263,Nikolina Milic,TOR,F,2026
1642773,Kariata Diaby,CON,F,2025
1630112,Tyasha Harris,DAL,F,2025
1642768,Kyara Linskens,GSV,F,2025
1642814,Taylor Thierry,ATL,F,2025
203406,Layshia Clarendon,LAS,F,2024
1630993,Anneli Maley,NYL,F,2026
1641695,Ashten Prechtel,GSV,F,2026
204325,Crystal Bradford,LVA,F,2025
1642300,Dyaisha Fair,LVA,F,2024
204296,Rebecca Allen,PHO,F,2024
1629501,Alanna Smith,DAL,F,2026
1642802,Lucy Olsen,WAS,F,2026
1643450,Rori Harmon,WAS,F,2026
1629477,Sabrina Ionescu,NYL,G,2026
1643438,Marta Suarez,PHX,F,2026
1629574,Li Yueru,DAL,F,2026
1642286,Caitlin Clark,IND,F,2025
1628276,Kelsey Plum,LAS,G,2026
1628242,Emma Cannon,LAS,F,2026
1643447,Gabriela Jaquez,CHI,F,2026
1629581,Emese Hof,MIN,F,2026
1630108,Mariella Fasoula,TOR,F,2026
1641667,Taylor Soule,MIN,F,2024
1630115,Joyner Holmes,SEA,F,2026
1642814,Taylor Thierry,SEA,F,2026
1643525,Alex Fowler,NYL,F,2026
1643490,Eliska Joklova,MIN,F,2026
1631039,Miela Sowah,GSV,F,2026
1642210,Julie Vanloo,NYL,G,2026
1643487,Quionche Carter,PHX,F,2026
203026,Tiffany Hayes,GSV,F,2025
1641650,Haley Jones,PDX,F,2026
1643473,Taina Mair,SEA,F,2026
1630134,Sug Sutton,PDX,F,2026
1628278,Shatori Walker-Kimbrough,IND,F,2026
1642775,Alex Wilson,WAS,F,2026
1642288,Rickea Jackson,CHI,F,2026
203024,Damiris Dantas,IND,F,2026
1628297,Alexis Prince,PHX,C,2025
1643488,Emma Cechova,MIN,F,2026
1642826,Aubrey Griffin,NYL,F,2026
1630154,Kamiah Smalls,PDX,F,2026
1642798,Dominique Malonga,SEA,C,2026
1642790,Sania Feagin,LAS,F,2026
1643527,Jordan Harrison,PDX,F,2026
1630138,Peyton Williams,PHX,F,2026
1627701,Temi Fagbenle,TOR,F,2026
1631064,Chloe Bibby,GSV,F,2025
1642240,Jaelyn Brown,CON,F,2025
1630115,Joyner Holmes,LVA,F,2025
1642307,Mackenzie Holmes,SEA,F,2025
1627669,Moriah Jefferson,CHI,F,2025
202664,Courtney Vandersloot,CHI,G,2026
1643686,Nadia Fingall,GSV,F,2026
1642294,Charisma Osborne,PHO,F,2024
1642788,Bree Hall,IND,F,2026
1643461,Laura Ziegler,LAS,F,2026
204330,Isabelle Harrison,TOR,F,2026
1643470,Shay Ciezki,PHX,F,2026
1629539,Amy Okonkwo,ATL,F,2026
1630462,Aari McDonald,IND,G,2025
1642818,Maddy Westbeld,CHI,F,2026
1642305,Jessika Carter,LVA,F,2024
1630469,Marine Fauthoux,NYL,F,2026
1642808,JJ Quinerly,DAL,F,2026
1643424,Costanza Verona,DAL,F,2026
1642799,Megan McConnell,PHX,F,2025
1642320,Jaylyn Sherrod,ATL,F,2026
1629496,Ezi Magbegor,SEA,F,2026
1628280,Brionna Jones,ATL,C,2026
1641657,Dorka Juhasz,MIN,F,2026
1629483,Napheesa Collier,MIN,C,2026
1631064,Chloe Bibby,CHI,F,2026
1630096,DiJonai Carrington,CHI,F,2026
1630389,Dana Evans,LVA,F,2026
1628244,Sami Whitcomb,PHX,F,2026
