TEAM_ABBREVIATION,POSITION,SEASON,AVG_PTS_ALLOWED,AVG_REB_ALLOWED,AVG_AST_ALLOWED,AVG_3PM_ALLOWED,PTS_RANK,REB_RANK,AST_RANK,3PM_RANK
BOS,G,2023-24,16.784671532846716,3.5328467153284673,4.711678832116788,2.1313868613138687,15,18,30,11
BOS,G,2024-25,15.678125,3.421875,4.58125,1.878125,17,13,27,23
BOS,G,2025-26,13.695238095238095,3.142857142857143,4.933333333333334,1.8333333333333333,28,14,12,13
CHA,C,2023-24,17.492592592592594,8.866666666666667,3.4703703703703703,0.9814814814814815,6,19,17,8
CHA,C,2024-25,15.196296296296296,9.0,3.411111111111111,1.0444444444444445,17,8,16,2
CHA,C,2025-26,16.898230088495577,7.212389380530974,3.8008849557522124,1.1592920353982301,4,29,4,3
CHA,F,2023-24,8.009929078014185,3.0907801418439718,1.8184397163120567,1.0241134751773049,7,3,2,6
CHA,F,2024-25,7.246007768666379,2.8700906344410875,1.5265429434613724,0.9935261113508848,18,12,16,11
CHA,F,2025-26,7.404355503237198,2.655091230135374,1.568569746909947,0.9582107121836374,27,30,23,22
CHA,G,2023-24,15.264808362369338,3.843205574912892,5.606271777003484,1.9581881533101044,28,5,10,18
CHA,G,2024-25,16.573248407643312,3.538216560509554,5.028662420382165,2.0923566878980893,4,8,19,7
CHA,G,2025-26,15.174887892376681,3.0896860986547083,4.834080717488789,1.5515695067264574,21,16,15,29
CHI,C,2023-24,16.035019455252918,9.198443579766536,3.5486381322957197,0.8093385214007782,23,12,12,23
CHI,C,2024-25,16.961937716262977,9.2560553633218,3.546712802768166,0.9688581314878892,3,2,11,6
CHI,C,2025-26,16.7196261682243,7.845794392523365,3.5700934579439254,1.1682242990654206,7,22,5,2
CHI,F,2023-24,7.751495628163829,2.970547630004602,1.7004141739530603,1.1076852277956741,14,13,9,1
CHI,F,2024-25,7.366291197329996,2.8506466416353775,1.6057571964956194,0.9011264080100125,16,14,7,27
CHI,F,2025-26,8.121749408983451,3.104018912529551,1.7275413711583925,1.0260047281323876,7,8,12,10
CHI,G,2023-24,16.683397683397683,3.2316602316602316,5.783783783783784,2.2393822393822393,16,28,4,8
CHI,G,2024-25,16.80757097791798,3.637223974763407,5.690851735015773,2.2365930599369084,2,6,2,2
CHI,G,2025-26,16.245098039215687,3.4215686274509802,5.4068627450980395,1.9803921568627452,10,8,1,7
CLE,C,2023-24,15.076923076923077,8.834008097165992,3.445344129554656,0.8947368421052632,28,21,19,15
CLE,C,2024-25,15.75294117647059,8.964705882352941,3.4352941176470586,0.8549019607843137,12,13,14,16
CLE,C,2025-26,15.8,8.71,3.29,0.91,13,3,17,15
CLE,F,2023-24,7.62557497700092,2.874885004599816,1.5478380864765409,0.9475620975160993,16,24,25,17
CLE,F,2024-25,7.410256410256411,2.850357292980244,1.46448087431694,0.978562421185372,14,15,23,13
CLE,F,2025-26,7.719408081957883,2.8924302788844622,1.6829823562891293,1.0489470688673876,16,22,14,7
CLE,G,2023-24,15.400735294117647,3.6029411764705883,5.029411764705882,1.7683823529411764,27,14,24,29
CLE,G,2024-25,15.214046822742475,3.220735785953177,5.183946488294314,1.9230769230769231,25,28,15,17
CLE,G,2025-26,15.286458333333334,3.0104166666666665,4.994791666666667,1.8229166666666667,18,20,10,14
DAL,C,2023-24,15.468503937007874,8.866141732283465,3.3070866141732282,0.8307086614173228,27,20,24,20
DAL,C,2024-25,16.11439114391144,8.645756457564575,3.4317343173431736,0.8339483394833949,8,19,15,19
DAL,C,2025-26,16.393364928909953,8.388625592417062,3.5023696682464456,0.9383886255924171,8,12,8,13
DAL,F,2023-24,7.987747408105561,3.1324222431668236,1.7271442035815268,1.0122525918944392,9,2,7,8
DAL,F,2024-25,7.436454849498328,2.9749163879598663,1.5639632107023411,0.9201505016722408,12,3,10,24
DAL,F,2025-26,7.666276346604215,3.120608899297424,1.6686182669789227,0.9086651053864169,19,7,15,26
DAL,G,2023-24,16.176666666666666,3.5766666666666667,5.316666666666666,1.98,21,16,16,17
DAL,G,2024-25,15.480243161094226,3.4893617021276597,5.109422492401216,1.8054711246200608,19,9,17,28
DAL,G,2025-26,15.828703703703704,3.4583333333333335,5.101851851851852,1.6712962962962963,14,7,6,25
DEN,C,2023-24,17.03734439834025,8.676348547717842,3.3485477178423237,0.8630705394190872,11,24,22,17
DEN,C,2024-25,15.547528517110266,9.11787072243346,3.574144486692015,0.7186311787072244,15,6,9,29
DEN,C,2025-26,14.819444444444445,8.467592592592593,3.388888888888889,0.8935185185185185,18,10,12,18
DEN,F,2023-24,7.513953488372093,2.952558139534884,1.5781395348837208,0.8153488372093023,24,18,22,29
DEN,F,2024-25,7.661512745507731,2.7191809444212285,1.700376096949436,1.0154617634768073,8,30,3,7
DEN,F,2025-26,8.287146226415095,2.8979952830188678,1.7694575471698113,1.0577830188679245,5,20,7,6
DEN,G,2023-24,15.036630036630036,3.249084249084249,5.358974358974359,1.794871794871795,30,27,14,28
DEN,G,2024-25,16.88157894736842,3.273026315789474,5.875,2.2796052631578947,1,24,1,1
DEN,G,2025-26,14.884615384615385,2.826923076923077,4.802884615384615,1.7211538461538463,24,27,16,21
DET,C,2023-24,16.870588235294118,8.760784313725491,3.823529411764706,0.8705882352941177,13,22,5,16
DET,C,2024-25,16.01798561151079,8.633093525179856,3.697841726618705,0.9172661870503597,10,20,5,12
DET,C,2025-26,13.925373134328359,7.278606965174129,2.8656716417910446,1.1144278606965174,28,28,26,5
DET,F,2023-24,7.993533487297921,2.9547344110854503,1.6295612009237874,0.8748267898383372,8,15,17,26
