TEAM_ABBREVIATION,POSITION,SEASON,AVG_PTS_ALLOWED,AVG_REB_ALLOWED,AVG_AST_ALLOWED,AVG_3PM_ALLOWED,PTS_RANK,REB_RANK,AST_RANK,3PM_RANK
MIL,C,2025-26,30.0,8.0,2.5,3.0,4,18,27,1
MIL,F,2023-24,9.625,3.375,0.875,0.5,1,13,16,9
MIL,F,2024-25,5.818181818181818,2.6363636363636362,1.0909090909090908,0.7272727272727273,24,24,19,24
MIL,F,2025-26,6.0,3.25,1.625,0.625,27,21,12,27
MIN,C,2023-24,16.2,8.6,5.0,1.6,17,13,3,6
MIN,C,2024-25,12.0,4.666666666666667,1.6666666666666667,2.6666666666666665,24,22,30,3
MIN,C,2025-26,16.5,9.5,6.0,1.5,21,10,6,14
MIN,F,2023-24,6.363636363636363,3.5454545454545454,0.8181818181818182,0.2727272727272727,13,12,18,22
MIN,F,2024-25,5.454545454545454,2.8181818181818183,0.7272727272727273,0.8181818181818182,26,21,26,18
MIN,F,2025-26,10.88888888888889,3.2222222222222223,1.5555555555555556,1.6666666666666667,4,23,14,3
NOP,C,2023-24,13.8,12.4,6.4,1.0,24,3,1,17
NOP,C,2024-25,19.0,8.666666666666666,5.333333333333333,1.6666666666666667,9,3,4,9
NOP,C,2025-26,15.0,7.0,4.0,1.0,24,22,21,18
NOP,F,2023-24,5.0,3.888888888888889,0.4444444444444444,0.4444444444444444,20,8,27,12
NOP,F,2024-25,8.75,4.6875,1.6875,1.125,5,3,7,8
NOP,F,2025-26,10.625,4.375,2.0,1.5,5,8,5,6
NYK,C,2023-24,17.714285714285715,6.142857142857143,3.5714285714285716,1.2857142857142858,12,26,18,12
NYK,C,2024-25,14.666666666666666,7.0,2.0,2.0,18,12,27,5
NYK,C,2025-26,23.0,4.666666666666667,2.3333333333333335,1.6666666666666667,14,29,28,11
NYK,F,2023-24,5.5,3.375,1.0,0.25,17,13,13,23
NYK,F,2024-25,7.3076923076923075,3.8461538461538463,1.3846153846153846,0.9230769230769231,13,9,12,13
NYK,F,2025-26,7.857142857142857,3.5714285714285716,1.4285714285714286,1.2857142857142858,21,18,18,11
OKC,C,2023-24,12.0,11.0,3.0,0.6,27,5,24,24
OKC,C,2024-25,10.25,6.5,2.5,0.5,29,15,22,24
OKC,C,2025-26,9.0,11.0,3.0,0.0,28,3,25,29
OKC,F,2023-24,4.75,3.75,1.25,0.0,24,11,10,28
OKC,F,2024-25,6.75,2.9375,0.875,0.6875,16,19,24,27
OKC,F,2025-26,7.2,3.2,1.0,0.9,23,24,23,21
ORL,C,2023-24,21.5,6.0,3.75,1.75,5,27,16,5
ORL,C,2024-25,17.25,7.0,3.5,0.5,12,12,16,24
ORL,C,2025-26,24.5,6.5,4.25,1.0,12,25,19,18
ORL,F,2023-24,2.6666666666666665,1.3333333333333333,1.0,0.6666666666666666,30,30,13,3
ORL,F,2024-25,6.0,1.8571428571428572,0.7142857142857143,0.5714285714285714,23,30,27,28
ORL,F,2025-26,8.428571428571429,4.571428571428571,1.7142857142857142,1.2857142857142858,16,7,11,11
PHI,C,2023-24,16.6,7.0,2.2,1.0,15,21,28,17
PHI,C,2024-25,16.8,9.0,3.8,1.6,14,2,13,10
PHI,C,2025-26,27.0,5.0,5.0,2.3333333333333335,7,27,11,5
PHI,F,2023-24,7.0,3.857142857142857,3.4285714285714284,0.42857142857142855,9,10,1,13
PHI,F,2024-25,9.333333333333334,4.0,1.8666666666666667,1.3333333333333333,2,7,3,2
PHI,F,2025-26,14.428571428571429,4.857142857142857,2.142857142857143,2.857142857142857,1,3,4,1
PHX,C,2023-24,32.0,4.0,3.0,4.0,1,30,24,1
PHX,C,2024-25,27.5,4.0,4.0,3.5,2,26,9,1
PHX,C,2025-26,7.0,9.5,2.0,0.5,29,10,29,25
PHX,F,2023-24,4.111111111111111,3.3333333333333335,1.0,0.3333333333333333,28,15,13,17
PHX,F,2024-25,8.166666666666666,4.777777777777778,1.3888888888888888,1.3333333333333333,9,2,11,2
PHX,F,2025-26,7.916666666666667,3.5833333333333335,1.5,0.8333333333333334,20,17,16,26
POR,C,2023-24,18.666666666666668,9.166666666666666,2.6666666666666665,1.1666666666666667,10,12,26,16
POR,C,2024-25,10.5,11.25,3.75,0.5,28,1,14,24
POR,C,2025-26,22.75,7.75,4.25,1.5,15,19,19,14
POR,F,2023-24,5.0,2.5,0.7,0.6,20,25,23,5
POR,F,2024-25,8.636363636363637,4.636363636363637,1.9090909090909092,1.0909090909090908,6,4,2,10
POR,F,2025-26,8.25,4.875,2.875,1.125,17,2,1,16
SAC,C,2023-24,14.4,9.6,3.4,0.4,22,9,20,27
SAC,C,2024-25,10.0,6.333333333333333,2.0,0.5,30,16,27,24
SAC,C,2025-26,14.0,10.666666666666666,5.0,0.3333333333333333,26,5,11,28
SAC,F,2023-24,3.0833333333333335,2.75,1.0833333333333333,0.25,29,24,12,23
SAC,F,2024-25,9.1,4.5,1.7,1.7,3,5,6,1
SAC,F,2025-26,8.615384615384615,3.230769230769231,1.3846153846153846,1.5384615384615385,14,22,19,5
SAS,C,2023-24,12.666666666666666,7.833333333333333,3.5,1.3333333333333333,25,18,19,10
SAS,C,2024-25,14.0,2.5,2.5,0.5,20,30,22,24
SAS,C,2025-26,20.0,8.75,8.0,2.5,17,15,1,4
SAS,F,2023-24,6.0,3.272727272727273,0.6363636363636364,0.5454545454545454,15,16,26,8
SAS,F,2024-25,6.666666666666667,2.25,1.0833333333333333,1.25,17,27,20,5
SAS,F,2025-26,9.625,3.625,1.5625,1.3125,9,15,13,9
TOR,C,2023-24,21.8,9.2,4.6,2.4,4,11,5,2
TOR,C,2024-25,17.166666666666668,7.0,4.5,0.6666666666666666,13,12,6,23
TOR,C,2025-26,22.0,9.666666666666666,4.333333333333333,1.6666666666666667,16,9,17,11
TOR,F,2023-24,8.2,4.6,1.4,0.6,6,2,6,5
TOR,F,2024-25,6.555555555555555,3.0,0.8888888888888888,1.1111111111111112,20,16,23,9
TOR,F,2025-26,7.090909090909091,3.8181818181818183,0.8181818181818182,0.9090909090909091,24,13,25,20
UTA,C,2023-24,14.4,7.4,4.0,0.4,22,19,12,27
UTA,C,2024-25,14.666666666666666,5.666666666666667,2.6666666666666665,0.0,18,20,20,30
UTA,C,2025-26,29.5,4.0,7.0,0.5,5,30,2,25
UTA,F,2023-24,5.0,2.090909090909091,0.8181818181818182,0.36363636363636365,20,29,18,16
UTA,F,2024-25,7.352941176470588,3.176470588235294,1.9411764705882353,1.0588235294117647,12,14,1,12
UTA,F,2025-26,9.076923076923077,3.4615384615384617,1.7692307692307692,1.2307692307692308,11,20,10,13
WAS,C,2023-24,19.5,10.75,4.5,2.0,9,6,7,3
WAS,C,2024-25,21.0,6.0,4.25,2.5,6,17,8,4
WAS,C,2025-26,35.0,5.0,5.0,2.0,1,27,11,7
WAS,F,2023-24,9.25,4.5,0.875,0.375,3,4,16,15
WAS,F,2024-25,7.928571428571429,3.5,1.2857142857142858,0.7857142857142857,10,12,15,19
WAS,F,2025-26,9.9,5.1,1.9,1.3,7,1,7,10
