SEASON,GP,W,OPP_FGM,OPP_FGA,OPP_FG3M,OPP_FG3A,OPP_FTM,OPP_FTA,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_PF,OPP_PTS,PLUS_MINUS,MIN,L,W_PCT,OPP_FG_PCT,OPP_FG3_PCT,OPP_FT_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_PF_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK,OPP_BLKA,OPP_PFD,OPP_BLKA_RANK,OPP_PFD_RANK,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION
2023-24,78,44,40.1,86.2,13.0,37.1,15.0,19.1,9.3,33.5,42.8,26.6,13.6,6.7,4.8,18.9,108.2,1.5,241.0,34,0.564,0.465,0.35,0.782,1,12,16,13,19,3,3,7,17,25,2,3,3,12,3,19,11,14,14,5,9,17,2,17,0.0,0.0,1,1,1610612748,Miami Heat,MIA
2024-25,82,37,41.3,88.6,13.6,37.9,13.9,17.9,10.7,33.9,44.7,26.5,12.8,7.5,4.7,17.0,110.0,0.6,243.0,45,0.451,0.466,0.36,0.776,2,20,11,20,1,12,14,12,16,16,14,2,2,11,9,25,19,15,10,7,13,2,6,15,0.0,0.0,1,1,1610612748,Miami Heat,MIA
2025-26,58,31,42.7,93.3,13.8,39.6,17.8,22.1,11.8,35.3,47.2,27.1,14.9,8.2,5.3,20.1,116.9,3.1,240.4,27,0.534,0.457,0.348,0.803,2,13,15,15,28,19,29,5,20,28,6,12,7,29,20,29,29,18,23,12,22,13,20,10,0.0,0.0,1,1,1610612748,Miami Heat,MIA
2023-24,76,44,43.1,91.7,12.8,35.6,17.2,21.3,10.1,33.8,44.0,26.5,12.1,7.2,4.2,19.2,116.2,1.8,241.6,32,0.579,0.471,0.359,0.806,27,12,21,10,10,21,26,13,13,15,10,15,13,29,7,21,18,13,1,12,3,21,21,14,0.0,0.0,1,1,1610612749,Milwaukee Bucks,MIL
2024-25,82,48,41.5,91.0,13.8,39.4,16.0,20.4,11.0,34.3,45.2,26.2,12.0,7.4,3.8,18.9,112.7,2.6,240.9,34,0.585,0.456,0.351,0.785,2,11,18,11,18,13,23,4,19,25,5,7,5,20,12,28,24,13,4,5,2,17,13,11,0.0,0.0,1,1,1610612749,Milwaukee Bucks,MIL
2025-26,55,24,40.9,88.0,14.2,39.0,19.2,24.7,11.0,33.4,44.5,27.1,12.3,8.4,4.1,18.1,115.4,-3.4,241.4,31,0.436,0.465,0.365,0.78,27,21,10,21,10,9,11,11,25,26,21,20,22,11,8,21,17,18,4,14,3,2,15,22,0.0,0.0,1,1,1610612749,Milwaukee Bucks,MIL
2023-24,78,53,38.9,86.5,11.3,32.1,17.3,22.1,10.3,31.2,41.4,24.4,14.2,7.4,4.5,19.8,106.4,6.6,241.6,25,0.679,0.45,0.353,0.782,1,4,27,4,10,1,5,1,3,3,7,21,19,12,10,5,3,2,24,16,5,28,1,3,0.0,0.0,1,1,1610612750,Minnesota Timberwolves,MIN
2024-25,82,49,40.5,88.0,12.7,36.0,15.7,20.4,11.0,31.8,42.9,24.8,13.8,8.4,4.5,19.2,109.3,5.0,241.8,33,0.598,0.46,0.353,0.767,2,8,21,10,6,6,10,7,3,7,7,5,5,4,12,5,8,5,17,18,10,24,5,4,0.0,0.0,1,1,1610612750,Minnesota Timberwolves,MIN
2025-26,58,35,41.6,89.9,12.7,35.0,19.2,24.8,11.3,31.8,43.1,26.1,14.3,8.3,3.8,20.9,115.0,4.5,241.3,23,0.603,0.463,0.361,0.773,2,8,20,10,11,12,19,10,9,4,17,20,24,4,11,10,10,11,18,13,2,23,14,7,0.0,0.0,1,1,1610612750,Minnesota Timberwolves,MIN
2023-24,78,29,41.7,88.3,12.9,34.7,17.2,21.2,10.2,34.1,44.3,25.5,12.7,6.8,5.1,18.4,113.5,-3.3,241.6,49,0.372,0.472,0.373,0.812,1,22,8,22,10,15,14,16,14,13,22,15,12,30,9,24,20,7,6,7,18,14,14,22,0.0,0.0,1,1,1610612751,Brooklyn Nets,BKN
