TEAM_ID,TEAM_NAME,SEASON,GP,W,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,L,W_PCT,FG_PCT,FG3_PCT,FT_PCT,PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,PF_RANK,PTS_RANK,PLUS_MINUS_RANK,BLKA,PFD,BLKA_RANK,PFD_RANK,TEAM_ABBREVIATION
1610612745,Houston Rockets,2024-25,81,51.0,241.2,42.6,93.6,12.7,35.9,16.6,22.6,14.7,33.8,48.5,23.4,13.0,8.4,5.0,19.0,114.5,4.5,30.0,0.63,0.455,0.355,0.736,101.2,24,4,4,4,14,11,1,21,21,20,21,20,8,30,1,8,1,28,10,10,13,19,13,6,0.0,0.0,1,1,HOU
1610612745,Houston Rockets,2025-26,62,39.0,243.2,42.6,89.6,11.4,30.8,17.9,23.6,15.3,33.1,48.4,24.7,14.7,8.8,5.9,18.5,114.5,5.2,23.0,0.629,0.475,0.369,0.76,98.1,20,7,5,7,1,10,15,10,25,29,6,19,15,26,1,11,1,25,23,9,2,2,20,6,0.0,0.0,1,1,HOU
1610612746,LA Clippers,2025-26,62,30.0,241.2,39.8,82.7,12.3,33.9,20.6,24.8,9.4,31.6,41.0,23.5,14.0,8.7,4.7,18.8,112.4,0.3,32.0,0.484,0.481,0.361,0.832,97.7,20,19,18,19,10,29,30,5,22,22,11,3,12,1,27,20,28,30,16,12,17,5,24,17,0.0,0.0,1,1,LAC
1610612746,Los Angeles Clippers,2023-24,78,50.0,240.3,42.5,86.7,12.7,33.2,18.1,21.9,9.9,33.0,42.9,25.7,13.2,7.7,5.1,18.3,115.8,4.1,28.0,0.641,0.49,0.382,0.827,99.4,1,5,5,5,26,12,25,6,15,20,5,8,13,2,21,17,20,18,15,11,13,12,11,7,0.0,0.0,1,1,LAC
1610612746,Los Angeles Clippers,2024-25,81,49.0,241.5,41.5,86.2,12.5,33.5,17.2,21.6,10.2,33.4,43.6,25.1,13.9,9.4,4.5,18.4,112.8,4.3,32.0,0.605,0.482,0.372,0.796,98.8,24,8,7,9,9,17,26,6,25,29,6,10,17,7,23,10,19,24,19,3,20,14,19,7,0.0,0.0,1,1,LAC
1610612747,Los Angeles Lakers,2023-24,76,41.0,242.3,43.6,87.6,11.7,31.4,18.8,24.0,8.0,34.6,42.6,28.5,13.9,7.3,5.5,15.6,117.7,-0.9,35.0,0.539,0.498,0.371,0.783,103.1,27,17,16,17,2,6,22,3,25,28,9,2,2,13,30,3,24,5,19,19,10,1,6,20,0.0,0.0,1,1,LAL
1610612747,Los Angeles Lakers,2024-25,80,49.0,240.6,40.9,85.3,13.2,36.0,18.4,23.3,9.6,32.7,42.3,25.8,13.1,7.7,4.5,17.4,113.4,1.1,31.0,0.612,0.48,0.367,0.787,98.8,29,8,5,6,23,20,30,7,15,19,11,1,1,11,27,21,26,18,11,22,20,5,18,14,0.0,0.0,1,1,LAL
1610612747,Los Angeles Lakers,2025-26,63,38.0,240.0,41.9,83.9,12.0,33.5,20.2,26.3,9.4,31.5,40.9,25.5,14.1,8.2,4.2,18.7,116.0,0.7,25.0,0.603,0.499,0.358,0.769,100.1,9,10,9,10,30,16,29,1,23,24,16,6,3,22,27,22,29,19,19,18,24,3,12,15,0.0,0.0,1,1,LAL
1610612748,Miami Heat,2023-24,78,44.0,241.0,39.7,85.6,12.5,33.8,18.1,22.1,9.4,33.1,42.5,25.7,12.7,7.5,3.4,17.1,110.0,1.8,34.0,0.564,0.464,0.37,0.818,98.3,1,12,13,13,19,28,28,23,19,18,11,8,12,5,25,15,25,18,7,15,30,3,26,15,0.0,0.0,1,1,MIA
1610612748,Miami Heat,2024-25,82,37.0,243.0,40.5,87.0,13.7,37.3,16.0,20.2,9.7,33.7,43.4,26.4,12.6,8.1,3.8,15.5,110.6,0.6,45.0,0.451,0.465,0.367,0.791,97.6,2,20,20,20,1,23,24,17,12,16,11,26,27,8,26,9,21,14,6,15,30,1,23,15,0.0,0.0,1,1,MIA
